Text,Pop_Extracted,Pop_Status,Pop_Precision,Int_Extracted,Int_Status,Int_Precision,Out_Extracted,Out_Status,Out_Precision
"Oral ciprofloxacin vs. intramuscular ceftriaxone as empiric treatment of acute invasive diarrhea in children . BACKGROUND Acute invasive diarrhea is a potentially serious condition in children . Because of the increasing resistance of enteric pathogens to commonly used oral antibiotics , intramuscular ceftriaxone has become the routine drug in the treatment of acute invasive diarrhea requiring an emergency visit in southern Israel . The inconvenience of this parenteral regimen created an increased need for oral pediatric formulations for the treatment of invasive diarrhea . OBJECTIVES To evaluate the efficacy and safety of a suspension formulation of ciprofloxacin in the treatment of acute invasive diarrhea in infants and children . PATIENTS AND METHODS From July 1996 through December 1997 , 201 evaluable children ages 6 months to 10 years ( 35 % < 1 year ; 70 % < 3 years ) presenting with acute invasive diarrhea at the Pediatric Emergency Room were randomized to receive either ciprofloxacin suspension ( 10 mg/kg twice a day + im placebo ; n = 95 ) or im ceftriaxone ( 50 mg/kg/day + placebo suspension ; n = 106 ) for 3 days in a double blind manner . Stool cultures for Shigella , Salmonella , Campylobacter spp . and diarrheagenic Escherichia coli were obtained on Days 1 , 3 , 4 to 5 and 21 +/- 5 . Clinical response and safety were assessed on Days 1 , 2 , 3 , 4 to 5 and 21 +/- 5 . RESULTS We isolated 127 pathogens from 121 ( 60 % ) patients : 73 ( 57 % ) Shigella ; 23 ( 18 % ) Salmonella ; 18 ( 14 % ) E. coli ; and 13 ( 10 % ) Campylobacter . Overall bacteriologic eradication on Day 4 to 5 was 99 % for Shigella , 77 % for Salmonella and 77 % for Campylobacter , with no difference between the 2 groups . Clinical cure or improvement was observed in 100 and 99 % of the ciprofloxacin and ceftriaxone groups , respectively . Serum ciprofloxacin values determined on Day 3 of the treatment were higher in the majority of patients than were the MIC50 and MIC90 values for the Shigella and Salmonella spp . isolated . Possible drug-related adverse events occurred in 13 patients [ ciprofloxacin , 8 ( 8 % ) ; ceftriaxone , 5 ( 4.7 % ) ] and were mild and transient . Joint examination was normal during and after completion of therapy in all patients . CONCLUSION Oral ciprofloxacin was as safe and effective as intramuscular ceftriaxone for the empiric treatment of acute invasive diarrhea in ambulatory pediatric patients requiring an emergency room visit .",acute invasive diarrhea ; children ; infants and children,Hit (Relaxed),1.0,oral ciprofloxacin ; ciprofloxacin suspension ; im placebo ; intramuscular ceftriaxone ; 50 mg/kg/day + placebo suspension ; ciprofloxacin suspension ( 10 mg/kg twice a day + im placebo ) ; ceftriaxone,Partial Hit,0.7142857142857143,efficacy and safety ; acute invasive diarrhea ; clinical response and safety ; bacteriologic eradication ; clinical cure or improvement ; serum ciprofloxacin values ; drug-related adverse events,Partial Hit,0.5714285714285714
"Effect of antipyretic drugs in children with malaria . A comparison of different antipyretics in children with malaria showed a small effect of naproxen , but not of metamizol , on the reduction of fever peaks . Antipyretic treatment had no effect on fever clearance and therefore should be used cautiously in the treatment of malaria .",children with malaria.,Hit (Relaxed),1.0,antipyretic drugs ; naproxen ; metamizol,Hit (Relaxed),1.0,fever peaks ; fever clearance,Hit (Relaxed),1.0
"Effect of the essential oils of garlic and onion on alimentary hyperlipemia . SUMMARY The effect of garlic and onion on alimentary hyperlipemia , induced by feeding 100 g butter , has been studied in 10 healthy subjects . The freshly extracted juice of 50 g of garlic or onion , as well as an equivalent amount of their ether-extracted essential oils , was administered randomly on four different days during a one-week period . Garlic and onion have a significant protective action against fat-induced increases in serum cholesterol and plasma fibrinogen and decreases in coagulation time and fibrinolytic activity . The essential oil fraction , which contains all the taste and odour , exactly duplicated the beneficial effects of whole garlic and onion . It is , therefore , concluded that the active principle of garlic and onion is the essential oil , which chemically is a combination of sulphur-containing compounds , mainly allyl propyl disulphide and diallyl disulphide .",10 healthy subjects,Hit (Relaxed),1.0,garlic ; garlic and onion ; onion ; freshly extracted juice of 50 g of garlic or onion ; essential oils of garlic and onion ; ether-extracted essential oils ; garlic ; onion ; allyl propyl disulphide ; diallyl disulphide,Partial Hit,0.8,alimentary hyperlipemia ; serum cholesterol ; plasma fibrinogen ; coagulation time ; fibrinolytic activity,Partial Hit,0.8
"Economic evaluation of aquatic exercise for persons with osteoarthritis . OBJECTIVES To estimate cost and outcomes of the Arthritis Foundation aquatic exercise classes from the societal perspective . DESIGN Randomized trial of 20-week aquatic classes . Cost per quality-adjusted life year ( QALY ) gained was estimated using trial data . Sample size was based on 80 % power to reject the null hypothesis that the cost/QALY gained would not exceed $ 50,000 . SUBJECTS AND METHODS Recruited 249 adults from Washington State aged 55 to 75 with a doctor-confirmed diagnosis of osteoarthritis to participate in aquatic classes . The Quality of Well-Being Scale ( QWB ) and Current Health Desirability Rating ( CHDR ) were used for economic evaluation , supplemented by the arthritis-specific Health Assessment Questionnaire ( HAQ ) , Center for Epidemiologic Studies-Depression Scale ( CES-D ) , and Perceived Quality of Life Scale ( PQOL ) collected at baseline and postclass . Outcome results applied to life expectancy tables were used to estimate QALYs . Use of health care facilities was assessed from diaries/questionnaires and Medicare reimbursement rates used to estimate costs . Nonparametric bootstrap sampling of costs/QALY ratios established the 95 % CI around the estimates . RESULTS Aquatic exercisers reported equal ( QWB ) or better ( CHDR , HAQ , PQOL ) health-related quality of life compared with controls . Outcomes improved with regular class attendance . Costs/QALY gained discounted at 3 % were $ 205,186 using the QWB and $ 32,643 using the CHRD . CONCLUSION Aquatic exercise exceeded $ 50,000 per QALY gained using the community-weighted outcome but fell below this arbitrary budget constraint when using the participant-weighted measure . Confidence intervals around these ratios suggested wide variability of cost effectiveness of aquatic exercise .",persons with osteoarthritis ; adults from Washington State aged 55 to 75 with a doctor-confirmed diagnosis of osteoarthritis,Hit (Relaxed),1.0,aquatic exercise classes ; Arthritis Foundation aquatic exercise classes,Hit (Relaxed),1.0,cost and outcomes ; cost per quality-adjusted life year ( QALY ) gained ; Quality of Well-Being Scale ( QWB ) ; Current Health Desirability Rating ( CHDR ) ; arthritis-specific Health Assessment Questionnaire ( HAQ ) ; Center for Epidemiologic Studies-Depression Scale ( CES-D ) ; Perceived Quality of Life Scale ( PQOL ) ; health care facilities ; Medicare reimbursement rates,Hit (Relaxed),1.0
"Why were the results of the Heart Outcomes Prevention Evaluation ( HOPE ) trial so astounding ? The Heart Outcomes Prevention Evaluation ( HOPE ) study was important because it showed the benefits of ramipril - an angiotensin-converting enzyme ( ACE ) inhibitor - in patients at high risk for cardiovascular events . Treatment with ramipril significantly reduced the rates of death , myocardial infarction , stroke , coronary revascularization , cardiac arrest and heart failure , as well as the risk of diabetes-related complications and of diabetes itself . The effects of therapy with vitamin E were also evaluated , but no statistical benefits were shown . The benefits of ACE inhibitor therapy that were observed were likely due to a variety of mechanisms , not just a reduction in blood pressure .",HOPE trial ; patients at high risk for cardiovascular events,Partial Hit,0.5,ramipril ; ramipril ; vitamin E,Hit (Relaxed),1.0,death ; myocardial infarction ; stroke ; coronary revascularization ; cardiac arrest ; heart failure ; diabetes-related complications ; diabetes,Hit (Relaxed),1.0
"Additive IOP-reducing effect of latanoprost in patients insufficiently controlled on timolol . PURPOSE To evaluate the effect on intraocular pressure ( IOP ) of switching from timolol to latanoprost or adding latanoprost to timolol in patients with open angle glaucoma or ocular hypertension where IOP is not adequately controlled with timolol . METHODS This was a 6-week , double-masked , randomised multi-centre study . 53 patients with primary open angle glaucoma , capsular glaucoma , or ocular hypertension with an IOP of at least 21 mmHg on current therapy were recruited . After a run-in period of at least 2 weeks on timolol , 5 mg/ml twice daily , patients were randomised to one of three groups . One group continued on timolol , one switched from timolol to latanoprost , 50 microg/ml once daily , and a third group received latanoprost in addition to timolol . The efficacy was evaluated by comparing IOP at 9 AM at baseline and after 6 weeks of treatment . RESULTS IOP at baseline and after 6 weeks of treatment ( mean +/- SEM ) were 24.2 +/- 0.9 and 23.8 +/- 1.0 mmHg ( n = 16 ) for patients continuing on timolol , 26.3 +/- 1.2 and 19.6 +/- 1.1 mmHg ( n = 17 ) for patients switching to latanoprost , and 23.2 +/- 1.0 and 17.5 +/- 0.8 mmHg ( n = 17 ) for patients with combined treatment . Adding latanoprost to timolol reduced IOP with 5.9 +/- 0.9 mmHg ( p < 0.001 ) and switching from timolol to latanoprost reduced IOP with 5.0 +/- 0.9 mmHg ( p < 0.001 ) , which caused in each group a significant IOP reduction of about 25 % . CONCLUSIONS The effect of latanoprost was additive to that of timolol , and a good effect on IOP reduction was also achieved by switching from timolol to latanoprost , suggesting that a switch in many patients is an effective alternative to combination treatment .","open angle glaucoma or ocular hypertension ; 53 patients with primary open angle glaucoma, capsular glaucoma, or ocular hypertension",Hit (Relaxed),1.0,timolol; latanoprost; timolol; latanoprost; latanoprost in addition to timolol,Partial Hit,0.2,effect on intraocular pressure (IOP); IOP at 9 AM; IOP reduction; significant IOP reduction of about 25 %,Hit (Relaxed),1.0
"Recurrent epithelial ovarian carcinoma : a randomized phase III study of pegylated liposomal doxorubicin versus topotecan . PURPOSE To compare the efficacy and safety of pegylated liposomal doxorubicin ( PLD ) and topotecan in patients with epithelial ovarian carcinoma that recurred after or did n't respond to first-line , platinum-based chemotherapy . PATIENTS AND METHODS Patients with measurable and assessable disease were randomized to receive either PLD 50 mg/m ( 2 ) as a 1-hour infusion every 4 weeks or topotecan 1.5 mg/m ( 2 ) /d for 5 consecutive days every 3 weeks . Patients were stratified prospectively for platinum sensitivity and for the presence or absence of bulky disease . RESULTS A total of 474 patients were treated ( 239 PLD and 235 topotecan ) . They comprised the intent-to-treat population . The overall progression-free survival rates were similar between the two arms ( P =.095 ) . The overall response rates for PLD and topotecan were 19.7 % and 17.0 % , respectively ( P =.390 ) . Median overall survival times were 60 weeks for PLD and 56.7 weeks for topotecan . Data analyzed in platinum-sensitive patients demonstrated a statistically significant benefit from PLD for progression-free survival ( P =.037 ) , with medians of 28.9 for PLD versus 23.3 weeks for topotecan . For overall survival , PLD was significantly superior to topotecan ( P =.008 ) , with a median of 108 weeks versus 71.1 weeks . The platinum-refractory subgroup demonstrated a nonstatistically significant survival trend in favor of topotecan ( P =.455 ) . Severe hematologic toxicity was more common with topotecan and was more likely to be associated with dosage modification , or growth factor or blood product utilization . CONCLUSION The comparable efficacy , favorable safety profile , and convenient dosing support the role of PLD as a valuable treatment option in this patient population .","epithelial ovarian carcinoma ; epithelial ovarian carcinoma that recurred after or did n't respond to first-line , platinum-based chemotherapy",Partial Hit,0.5,pegylated liposomal doxorubicin ( PLD ) ; topotecan ; pegylated liposomal doxorubicin ; topotecan ; PLD 50 mg/m ( 2 ) as a 1-hour infusion every 4 weeks ; topotecan 1.5 mg/m ( 2 ) /d for 5 consecutive days every 3 weeks,Hit (Relaxed),1.0,progression-free survival rates ; overall response rates ; Median overall survival times ; progression-free survival ; overall survival ; severe hematologic toxicity,Hit (Relaxed),1.0
"Oral contraceptive use is associated with increased cardiovascular reactivity in nonsmokers . Women who smoke and take oral contraceptives ( OCs ) have significantly increased risk of cardiovascular disease , but the exact mechanismsfor the increased risk are not known . Cardiovascular reactivity to psychological stress may be one mechanism for the enhanced risk , but the small number of studies examining whether OC users who smoke have greater reactivity have produced mixed results . The purpose of this study was to examine the effect of chronic cigarette smoking , acute nicotine administration , and OC use on cardiovascular and lipid reactivity . Sixty healthy women , half of whom had been using OCs for at least the previous 6 months , participated in the study . Approximately two thirds were smokers and were randomized to be tested after either a 12-hr nicotine deprivation or administration of nicotine gum . One third were nonsmokers . Heart rate , blood pressure , and lipid measures were taken at rest , during a videotaped speech task , and during recovery from the task . Results indicated that , among OC nonusers , there was no effect of smoking status or nicotine administration on cardiovascular reactivity . However , among OC users , nonsmokers had significantly greater heart rate and diastolic blood pressure reactivity to stress . These data show that acute nicotine administration , in the form of nicotine gum , has no effect on cardiovascular or lipid stress reactivity in women . However OC use among nonsmoking women is associated with greater cardiovascular reactivity to stress .",Sixty healthy women ; half of whom had been using OCs for at least the previous 6 months,Hit (Relaxed),1.0,chronic cigarette smoking ; acute nicotine administration ; oral contraceptives ( OCs ),Partial Hit,0.3333333333333333,cardiovascular reactivity ; lipid reactivity ; heart rate ; blood pressure,Hit (Relaxed),1.0
"[ Neoton and thrombolytic therapy of myocardial infarction ] . AIM To evaluate neoton therapy effects in acute myocardial infarction ( MI ) on systolic function of the left ventricle , arrhythmia and clinical symptoms in patients on thrombolytic therapy ( TLT ) . MATERIAL AND METHODS 106 males with Q-MI entered the study . 47 received treatment without TLT and neoton , 30 patients received TLT with streptokinase preparations , 29 patients were given streptokinase preparations and neoton . Left ventricular systolic function was measured by echocardiography on day 1 , 3 , 7 , 14 , 21 and 28 ; arrhythmia was analysed at Holter monitoring in day 1 and 2 of MI . RESULTS TLT failed to arrest progression of left ventricular dilation by the end of the hospital stay . Patients given neoton in acute period of MI had no increase in the end systolic and diastolic volumes of the left ventricle in the course of the first months after MI onset . Antiarrhythmic action of neoton manifested on MI day 2 . CONCLUSION Neoton given to MI patients receiving TLT prevents progression of left ventricular systolic dysfunction and establishment of predictors of unfavourable outcome .",acute myocardial infarction ( MI ) ; 106 males with Q-MI,Partial Hit,0.5,neoton therapy ; thrombolytic therapy ( TLT ) ; streptokinase preparations ; neoton,Hit (Relaxed),1.0,systolic function of the left ventricle ; arrhythmia ; clinical symptoms ; progression of left ventricular dilation ; end systolic and diastolic volumes of the left ventricle ; Antiarrhythmic action,Partial Hit,0.6666666666666666
"Antioxidant supplementation and exercise-induced oxidative stress in the 60-year-old as measured by antipyrine hydroxylates . The effects of 12 weeks of antioxidant supplementation on exercise-induced oxidative stress were investigated in older adults ( 60 ( SE 1 ) years ; BMI 26 ( SE 1 ) kg/m ( 2 ) ) . Subjects were randomly divided in two groups : supplementation ( n 11 ) with 100 mg dl-alpha-tocopheryl acetate , 200 mg ascorbic acid , and 2 mg beta-carotene , and placebo ( n 9 ) . Before and after the 12 week supplementation period , subjects cycled for 45 min at submaximal intensity ( 50 % maximal workload capacity ) . Antipyrine was used as marker for oxidative stress . Antipyrine reacts quickly with hydroxyl radicals to form para- and ortho-hydroxyantipyrine . The latter metabolite is not formed in man through the mono-oxygenase pathway of cytochrome P450 . Daily supplementation significantly increased plasma concentrations of alpha-tocopherol and beta-carotene in the supplemented group ( Delta 14.4 ( SE 3.2 ) and 0.4 ( se 0.1 ) micromol/l ; P < 0.001 and P < 0.01 ) . No significant differences , within and between groups , were observed in the exercise-induced increase in the ratios para- and ortho-hydroxyantipyrine to antipyrine . In addition , supplementation did not affect the exercise-induced increase in thiobarbituric acid reactive substances in plasma . In conclusion , in 60-year-old subjects antioxidant supplementation had no effect on the exercise-induced increase in oxidative stress as measured by free radical products of antipyrine .",older adults ( 60 ( SE 1 ) years ; BMI 26 ( SE 1 ) kg/m ( 2 ) ),Hit (Relaxed),1.0,"12 weeks of antioxidant supplementation with 100 mg dl-alpha-tocopheryl acetate , 200 mg ascorbic acid , and 2 mg beta-carotene",Hit (Relaxed),1.0,exercise-induced oxidative stress ; plasma concentrations of alpha-tocopherol and beta-carotene ; para- and ortho-hydroxyantipyrine to antipyrine ratios ; thiobarbituric acid reactive substances in plasma,Partial Hit,0.5
"The course of depression in recent onset rheumatoid arthritis : the predictive role of disability , illness perceptions , pain and coping . BACKGROUND This study aimed to investigate the course of depression for patients with recently diagnosed rheumatoid arthritis ( RA ) and to investigate predictors of depression . METHODS Twenty-two patients with a history of recently diagnosed RA of less than 2 years were assessed on a variety of clinical outcome and process measures on six assessment occasions over a 21-month period . These 22 patients constituted the control group of a controlled trial and received standard outpatient clinic treatment during follow-up . RESULTS Patients became significantly more depressed over time . A set of five factors were found to consistently predict depression at the following assessment . These were initial level of depression , disability , pain , beliefs about the consequences of arthritis and coping strategies . CONCLUSIONS The results confirm the importance of psychological factors in early RA and their relative independence from physical findings . This is the first study to document the importance of illness perceptions in recent onset RA .",recently diagnosed rheumatoid arthritis ; patients with recently diagnosed RA ; 22 ; patients with a history of recently diagnosed RA,Hit (Relaxed),1.0,standard outpatient clinic treatment,Hit (Relaxed),1.0,depression ; disability ; pain ; beliefs about the consequences of arthritis ; coping strategies,Partial Hit,0.8
"A pilot study on the effect of progressive muscle relaxation training of patients after stoma surgery . Eighteen patients who had undergone stoma surgery were assessed with respect to their anxiety level and self-reported quality of life ( QoL ) on three occasions ; namely , immediately after surgery , 5 weeks after surgery , and 10 weeks after surgery . The patients were randomised into a control group ( n = 10 ) and an experimental group ( n = 8 ) . A 20-min set of audiotaped instructions on progressive muscle relaxation training ( PMRT ) was given to the patients in the experimental group for home practice . Assessment instructions included the Chinese State-Trait Anxiety Inventory ( C-STAI ) , the Quality of Life Index for Colostomy ( QoL-Colostomy ) and the Hong Kong Chinese version of the World Health Organisation Quality of Life Scale ( WHOQoL ) . Results indicated that there was a significant decrease in both the C-STAI score ( F = 4.66 , P < 0.05 ) and the WHOQoL score ( F = 4.74 , P < 0.05 ) in the experimental group . Among the domains of WHOQoL , a significant difference was shown in physical health/independence and general perception of QoL , with the experimental group demonstrating better functioning . For the QoL-Colostomy , however , there was no significant difference between the control and experimental groups . The results suggest that the use of PMRT could enhance quality of life and decrease state anxiety in patients after stoma surgery .",patients after stoma surgery,Hit (Relaxed),1.0,progressive muscle relaxation training ; 20-min set of audiotaped instructions on progressive muscle relaxation training ( PMRT ) for home practice,Hit (Relaxed),1.0,anxiety level and self-reported quality of life ( QoL ); C-STAI score ; WHOQoL score ; physical health/independence and general perception of QoL ; quality of life,Hit (Relaxed),1.0
"Comparison of weakness progression in inclusion body myositis during treatment with methotrexate or placebo . We investigated whether 5 to 20mg per week oral methotrexate could slow down disease progression in 44 patients with inclusion body myositis in a randomized double-blind placebo-controlled study over 48 weeks . Mean change of quantitative muscle strength testing sum scores was the primary study outcome measure . Quantitative muscle strength testing sum scores declined in both treatment groups , -0.2 % for methotrexate and -3.4 % for placebo ( 95 % confidence interval = -2.5 % to +9.1 % for difference ) . There were also no differences in manual muscle testing sum scores , activity scale scores and patients ' own assessments after 48 weeks of treatment . Serum creatine kinase activity decreased significantly in the methotrexate group . We conclude that oral methotrexate did not slow down progression of muscle weakness but decreased serum creatine kinase activity .",inclusion body myositis ; patients with inclusion body myositis ; 44 patients with inclusion body myositis,Hit (Relaxed),1.0,methotrexate or placebo ; methotrexate ; oral methotrexate ; placebo-controlled study ; randomized double-blind placebo-controlled study ; methotrexate ; placebo,Partial Hit,0.7142857142857143,mean change of quantitative muscle strength testing sum scores ; Quantitative muscle strength testing sum scores ; manual muscle testing sum scores ; activity scale scores ; patients' own assessments ; serum creatine kinase activity,Hit (Relaxed),1.0
"[ Limbal epithelial autograft transplantation in treatment of pterygium ] . OBJECTIVE To observe the therapeutic effects of limbal epithelial autograft transplantation and pterygium excision in the treatment of pterygium . METHODS A prospective randomized paired-eye trial was studied . There were 208 patients ( 229 eyes ) with initial pterygium , and they were allocated to two groups : excision of pterygium with limbal epithelial autograft transplantation surgery ( A group , 106 cases and 124 eyes ) and simple pterygium excision ( B group , 102 cases and 105 eyes ) . The criteria for recovery were corneal transparency with stable epithelial healing and no abnormal proliferation of pterygium-like tissue . The post-operative follow-up periods ranged from 18 approximately 28 ( 22.4 +/- 4.9 ) months . RESULTS Some of the patients lost follow-up . In the eyes followed up , 5 of 11 2 eyes ( 4.5 % ) in A group and 41 of 96 eyes ( 42.7 % ) in B group were recurred , the difference being very significant ( P < 0.001 ) . CONCLUSION To provide a new stem cell source , limbal epithelial autograft transplantation , for an injured limb us is a reasonable therapeutic method for the treatment of pterygium .",pterygium ; 208 patients ( 229 eyes ) with initial pterygium,Hit (Relaxed),1.0,limbal epithelial autograft transplantation and pterygium excision ; limbal epithelial autograft transplantation surgery ; simple pterygium excision,Hit (Relaxed),1.0,corneal transparency with stable epithelial healing ; no abnormal proliferation of pterygium-like tissue,Hit (Relaxed),1.0
"Clinical performance of the Reichert AT550 : a new non-contact tonometer . The aim of the present study was to assess the level of accuracy for measurements of intra-ocular pressure ( IOP ) obtained with a new non-contact tonometer ( NCT ) the Reichert AT550 . Measurements were compared against those obtained with the Reichert Xpert Plus , Goldmann applanation tonometer and Perkins tonometer . Thirty-five university students were assessed with the four tonometers in a randomised order , with non-contact tonometry performed first . Each of the four measurement devices had its own trained clinical observer . Plots of differences of IOP as a function of the mean for each pair of instruments were obtained . No statistically significant differences were found when comparing the AT550 NCT with contact applanation tonometry ( AT ) ( p > 0.05 ) , displaying the closest level of agreement ( as represented by the lowest mean difference and the narrowest confidence interval ) with the Goldmann tonometer ( limits of agreement , 0.12+/-2.17 ) . In conclusion , readings of IOP with the AT550 NCT are clinically comparable with those obtained with Goldmann tonometry in a population with IOP within the normal range .",Thirty-five university students ; intra-ocular pressure ( IOP ),Partial Hit,0.5,Reichert AT550 ; Reichert Xpert Plus ; Goldmann applanation tonometer ; Perkins tonometer,Hit (Relaxed),1.0,level of accuracy for measurements of intra-ocular pressure ( IOP ) ; statistically significant differences ; closest level of agreement ; limits of agreement,Partial Hit,0.25
"Is a 2-week duration sufficient for stenting in endopyelotomy ? PURPOSE Internal stenting is an integral part of endopyelotomy . Studies in animals show good healing after 1 to 2 weeks of ureterotomy . Inherent stent related problems warrant a minimum possible duration of stenting without compromising the results of endopyelotomy . We performed a prospective randomized trial to evaluate the optimum duration of stenting after endopyelotomy . MATERIALS AND METHODS A total of 57 consecutive patients with primary ureteropelvic junction obstruction were randomized to undergo 7/14Fr internal endopyelotomy stent placement for 2 ( group 1 ) and 4 ( group 2 ) weeks . A symptom based questionnaire was administered to all patients at stent removal . Followup was done with diuretic scanning at 3 , 6 , 9 and 12 months and then yearly , and thereafter with diuretic renography . RESULTS In each group 26 patients were available for evaluation . The 2 groups were comparable in terms of age , sex , symptoms and ipsilateral glomerular filtration rate . Mean followup was 22.3 ( range 12 to 36 ) and 21.3 months ( range 12 to 35 ) in groups 1 and 2 , respectively . At the end of 1 year 24 group 1 ( 92.3 % ) and 23 group 2 ( 90.3 % ) patients had an improved drainage pattern . This difference was not significant . Stent related symptoms were present in a good proportion of patients in groups 1 and 2 but there was a significant difference in the incidence of urinary tract infections ( 11.5 % versus 38.1 % , p = 0.04 ) . Of the group 2 patients 64 % preferred 2 weeks of stenting . CONCLUSIONS Two weeks seems to be a sufficient duration to allow functional restoration across the ureteropelvic junction after endopyelotomy and decrease stent related complications .",57 consecutive patients with primary ureteropelvic junction obstruction ; 26 patients were available for evaluation,Partial Hit,0.5,internal stenting ; internal endopyelotomy stent placement ; 7/14Fr internal endopyelotomy stent placement ; 2 weeks ; 4 weeks,Partial Hit,0.6,healing after 1 to 2 weeks of ureterotomy ; results of endopyelotomy ; symptom based questionnaire ; diuretic scanning ; diuretic renography ; drainage pattern ; urinary tract infections,Partial Hit,0.2857142857142857
"Phase III study of concurrent chemoradiotherapy versus radiotherapy alone for advanced nasopharyngeal carcinoma : positive effect on overall and progression-free survival . PURPOSE Nasopharyngeal carcinoma ( NPC ) is a radiosensitive and chemosensitive tumor . This randomized phase III trial compared concurrent chemoradiotherapy ( CCRT ) versus radiotherapy ( RT ) alone in patients with advanced NPC . PATIENTS AND METHODS From December 1993 to April 1999 , 284 patients with 1992 American Joint Committee on Cancer stage III to IV ( M0 ) NPC were randomly allocated into two arms . Similar dosage and fractionation of RT was administered in both arms . The investigational arm received two cycles of concurrent chemotherapy with cisplatin 20 mg/m ( 2 ) /d plus fluorouracil 400 mg/m ( 2 ) /d by 96-hour continuous infusion during the weeks 1 and 5 of RT . Survival analysis was estimated by the Kaplan-Meier method and compared by the log-rank test . RESULTS Baseline patient characteristics were comparable in both arms . After a median follow-up of 65 months , 26.2 % ( 37 of 141 ) and 46.2 % ( 66 of 143 ) of patients developed tumor relapse in the CCRT and RT-alone groups , respectively . The 5-year overall survival rates were 72.3 % for the CCRT arm and 54.2 % for the RT-only arm ( P =.0022 ) . The 5-year progression-free survival rates were 71.6 % for the CCRT group compared with 53.0 % for the RT-only group ( P =.0012 ) . Although significantly more toxicity was noted in the CCRT arm , including leukopenia and emesis , compliance with the combined treatment was good . The second cycle of concurrent chemotherapy was refused by nine patients and was delayed for > or = 1 week for another nine patients . There were no treatment-related deaths in either arm . CONCLUSION We conclude that CCRT is superior to RT alone for patients with advanced NPC in endemic areas .",advanced nasopharyngeal carcinoma ; 284 patients with 1992 American Joint Committee on Cancer stage III to IV ( M0 ) NPC,Hit (Relaxed),1.0,concurrent chemoradiotherapy ; radiotherapy alone ; concurrent chemotherapy with cisplatin and fluorouracil ; RT ; CCRT ; CCRT,Hit (Relaxed),1.0,overall survival rates ; progression-free survival rates ; tumor relapse ; leukopenia and emesis,Hit (Relaxed),1.0
"Development of renal disease in people at high cardiovascular risk : results of the HOPE randomized study . In people with diabetes , renal disease tends to progress from microalbuminuria to clinical proteinuria to renal insufficiency . Little evidence has been published for the nondiabetic population . This study retrospectively analyzed changes of proteinuria over 4.5 yr in the HOPE ( Heart Outcomes and Prevention Evaluation ) study , which compared ramipril 's effects to placebo in 9297 participants , including 3577 with diabetes and 1956 with microalbuminuria . This report is restricted to 7674 participants with albuminuria data at baseline and at follow-up . Inclusion criteria were known vascular disease or diabetes plus one other cardiovascular risk factor , exclusion criteria included heart failure or known impaired left ventricular function , dipstick-positive proteinuria ( > 1+ ) , and serum creatinine > 2.3 mg/dl ( 200 microM ) . Baseline microalbuminuria predicted subsequent clinical proteinuria for the study participants overall ( adjusted odds ratio [ OR ] , 17.5 ; 95 % confidence interval [ CI ] , 12.6 to 24.4 ) , in participants without diabetes ( OR , 16.7 ; 95 % CI , 8.6 to 32.4 ) , and in participants with diabetes ( OR , 18.2 ; 95 % CI , 12.4 to 26.7 ) . Any progression of albuminuria ( defined as new microalbuminuria or new clinical proteinuria ) occurred in 1859 participants ; 1542 developed new microalbuminuria , and 317 participants developed clinical proteinuria . Ramipril reduced the risk for any progression ( OR , 0.87 ; 95 % CI , 0.78 to 0.97 ; P = 0.0146 ) . People without and with diabetes who are at high risk for cardiovascular disease are also at risk for a progressive rise in albuminuria . Microalbuminuria itself predicts clinical proteinuria in nondiabetic and in diabetic people . Ramipril prevents or delays the progression of albuminuria .",people at high cardiovascular risk ; diabetes ; microalbuminuria ; 9297 participants ; 7674 participants,Partial Hit,0.6,ramipril ; placebo ; HOPE study ; Heart Outcomes and Prevention Evaluation,Partial Hit,0.5,renal disease ; proteinuria ; clinical proteinuria ; renal insufficiency ; albuminuria ; cardiovascular risk factor ; heart failure ; impaired left ventricular function ; dipstick-positive proteinuria ; serum creatinine,Hallucinated,0.0
